domain,uri,government,live,ssl,enforce_https,non_www,redirect,ip,hostname,ipv6,dnssec,cdn,google_apps,could_provider,server,cms,analytics,javascript,advertising,slash_data,slash_developer,data_dot_json,click_jacking_protection,content_security_policy,xss_protection,secure_cookies,strict_transport_security,agency,last_checked
psa.gov,http://psa.gov,true,true,false,false,true,,152.180.7.100,pretrialservices.gov,false,false,false,false,false,Microsoft-IIS/7.5,drupal,google_analytics,jquery,"",false,false,false,false,false,false,,false,Court Services and Offender Supervision,2014-07-07 09:47:43 -0400
www.dnfsb.gov,http://www.dnfsb.gov,true,true,false,false,false,,184.73.205.16,ec2-184-73-205-16.compute-1.amazonaws.com,false,false,false,false,amazon,nginx,drupal,"",jquery,"",false,false,false,false,false,false,false,false,Defense Nuclear Facilities Safety Board,2014-07-07 09:47:44 -0400
dra.gov,http://dra.gov,true,true,false,false,true,,207.242.0.211,"",false,false,false,false,false,Microsoft-IIS/7.5,"",google_analytics,"","",false,false,false,false,false,false,,false,Delta Regional Authority,2014-07-07 09:47:55 -0400
www.ars-grin.gov,http://www.ars-grin.gov,true,true,false,false,false,,199.133.55.9,sun.ars-grin.gov,false,false,false,false,false,Apache/2.0.53 (Unix) mod_jk2/2.0.2 mod_perl/2.0.3 Perl/v5.8.8,"","","","",false,false,false,false,false,false,,false,Department of Agriculture,2014-07-07 09:49:08 -0400
askkaren.gov,http://www.askkaren.gov,true,true,false,false,true,www.fsis.usda.gov,199.140.114.2,befoodsafe.gov,,,,,,,,,,,,,,,,,,,Department of Agriculture,2014-07-07 09:49:09 -0400
befoodsafe.gov,http://www.befoodsafe.gov,true,true,false,false,true,www.fsis.usda.gov,199.140.114.2,befoodsafe.gov,,,,,,,,,,,,,,,,,,,Department of Agriculture,2014-07-07 09:49:10 -0400
biopreferred.gov,http://www.biopreferred.gov,true,true,false,false,true,,162.79.16.109,dmxbioppvww01.edc.usda.gov,false,false,false,false,false,Microsoft-IIS/7.5,"",google_analytics,"","",false,false,false,false,false,false,false,false,Department of Agriculture,2014-07-07 09:49:12 -0400
choosemyplate.gov,http://choosemyplate.gov,true,true,false,false,true,,162.79.16.72,fnsweb01.edc.usda.gov,false,false,false,false,false,Microsoft-IIS/7.5,"",google_analytics,"","",true,true,true,false,false,false,,false,Department of Agriculture,2014-07-07 09:49:13 -0400
coastalamerica.gov,http://coastalamerica.gov,true,true,false,false,true,,140.172.116.90,reef.csc.noaa.gov,false,false,false,false,false,Apache/2,"","","","",false,false,false,false,false,false,,false,Department of Agriculture,2014-07-07 09:49:15 -0400
www.dietaryguidelines.gov,http://www.dietaryguidelines.gov,true,true,false,false,false,health.gov,162.79.16.123,"",,,,,,,,,,,,,,,,,,,Department of Agriculture,2014-07-07 09:49:17 -0400
empowhr.gov,https://empowhr.gov,true,true,true,true,true,,199.141.73.5,"",false,false,false,false,false,,"","","","",false,false,false,false,false,false,false,false,Department of Agriculture,2014-07-07 09:49:20 -0400
www.execsec.gov,http://www.execsec.gov,true,true,false,false,false,,151.121.3.243,www.execsec.gov,false,false,false,false,false,Microsoft-IIS/7.5,"","","","",false,false,false,false,false,false,false,false,Department of Agriculture,2014-07-07 09:49:21 -0400
farmerclaims.gov,https://www.farmerclaims.gov,true,true,true,true,true,,64.235.28.70,"",false,false,false,false,false,Microsoft-IIS/7.5,"","","","",false,false,false,false,false,false,false,false,Department of Agriculture,2014-07-07 09:49:24 -0400
